andpsorts url	profile description
---academia-yngqi-de-wushu-kungfu-y-taijiquan---ewa-wushu-espana	El Arte Marcial Chino en su propuesta de Estilos Externos e Internos. Ven a probar una lecciòn gratis!
30-nudos-kite-school	"El equipo de 30 Nudos esta formado a la cabeza por Sergio Ramirez Hernandez, instructor titulado por la F.E.V. desde hace mas de 6 años. Después de descubrir y aprender en el Medano y curtirse intensamente como instructor ( Medano y Brasil), dirige este nuevo y apasionante proyecto llamado 30 Nudos Kite School.Nuestros objetivos son numerosos, pero el + importante es que aprendas kitesurf realmente de la manera mas segura, lejos de sacrificar tu seguridad y la de los demás en favor de objetivos poco realistas.
Tras vivir muy de cerca la evolución del kitesurf, tenemos claro que lo mas importante es la enseñanza y practica con la mayor seguridad y sentido común posible."
a-tu-aire-studio---danza	"""Danza a tu aire"" nace con la vocación de acercar el ballet clásico al público adulto. Manteniendo todos sus beneficios y dulcificando su aplicación; el resultado es que disfrutas a cualquier edad mientras aprendes lo que siempre has soñado.
Distribuido por niveles encontrarás tu lugar donde encajar, aprovechar al máximo y progresar de manera segura. Disfrutando y conociendo mejor tu cuerpo, crecerá la ilusión por mejorar y lograrás metas que antes parecían imposibles.

El ambiente en las clases está lleno de pasión por la danza y alegria, eso nos ha convertido en un grupo de aficionados que comparten experiencias. Exhibición fin de curso, viaje anual a la feria de danza en Londres, descuentos para el teatro, cenas, grupo en Facebook...siendo más que una escuela, una familia de danza a la que te damos la bienvenida.

Danza a tu aire.
Tu espacio para bailar.
Tu ritmo para aprender."
a-tu-aire-studio---pilates	"En ""A tu aire Pilates"" mejorar la salud y la forma física de nuestros clientes es nuestro principal objetivo.
Sencillo y altamente efectivo, el Método Pilates, nace para acondicionar cuerpo y mente integralmente dándote esos resultados en la forma física que tanto esperabas. Crearás nuevos patrones de movimiento y mejorarás tu postura de una manera efectiva y permanente.
Cada día más personas con consciencia de la salud están acudiendo a Pilates para fortalecer el centro, incrementar la fuerza y flexibilidad de su musculatura, mejorar la postura, reducir las enfermedades por stress y lograr una rápida recuperación después de una lesión.
En grupos reducidos o sesiones personales con aparatología, te sentirás de nuevo bien con tu cuerpo.

A tu aire Pilates
Tu espacio para la salud,
Tu ritmo para el bienestar."
a-vuela-en-parapente-donosti-san-sebastian	"Nuestro objetivo es acercar y facilitar el acceso al vuelo libre a través del parapente y en especial a las personas discapacitadas ayudandoles a librar barreras de un forma sencilla,segura y en contacto con la naturaleza."
abada-capoeira-brucutu---profesor-brucutu	"	

Abadá-Capoeira Guadalajara tiene como objetivo agrupar a todas las personas sin distinción de color, sexo, nacionalidad o raza, para el estudio y la práctica de la cultura brasileña, a través de clases de capoeira, su objetivo principal, y otras manifestaciones culturales paralelas como Maculele, samba, samba de roda, jongo, puxada de rede, llegando a ser un centro de confraternización dentro de un principio de solidaridad humana, como también:

• Coloquios, conferencias y espectáculos para potenciar el conocimiento de dicha actividad en la capital madrileña con espectáculos.
"
abada-capoeira-gato	"¡Practica Capoeira!

El deporte capoeira es muy completo, trabaja el cuerpo y la mente del que lo practica. Sus beneficios son muchos: desarrolla la flexibilidad,la coordinación, aumenta la resistencia, mejora la respiración, la postura, tonifica los músculos, entre otros. 
Puede ser practicada por cualquier persona independiente de su condición física o edad.

Graduado Gato imparte clases de capoeira en diferentes centros en Madrid capital."
abada-capoeira-guadalajara---profesor-brucutu	"	Abadá-Capoeira Guadalajara tiene como objetivo agrupar a todas las personas sin distinción de color, sexo, nacionalidad o raza, para el estudio y la práctica de la cultura brasileña, a través de clases de capoeira, su objetivo principal, y otras manifestaciones culturales paralelas como Maculele, samba, samba de roda, jongo, puxada de rede, llegando a ser un centro de confraternización dentro de un principio de solidaridad humana, como también:

• Coloquios, conferencias y espectáculos para potenciar el conocimiento de dicha actividad en con espectáculos."
abada-capoeira-valles	"Club Esportiu ABADA-CAPOEIRA VALLES.
Capoeira en Badia del Valles. 
Para todas las edades."
academia-yngqi-de-wushu-kungfu-y-taijiquan---ewa-wushu-espana	"Con el Kungfu y el Taichichuan tendràs 2 maneras diferentes de vivir esta experiencia que acerca 2 culturas; Oriente y Occidente se unen a traves del movimiento; el primero mas fisico, para quien busca un buen entrenamiento marcial, un sistema de defensa personal, mejorando reflejos y elasticidad; el segundo mas espiritual, para quien busca armonizar mente y cuerpo con sus movientos lentos, respiraciòn diafragmàtica y trabajo sobre la energìa ""Chi"". Probar para creer!"
ad-hospital-benasque	Senderismo en Benasque.
adhara-yoga	"Somos un centro de Yoga, coaching y terapias naturales, especializado en Kundalini Yoga. Tenemos además talleres, cursos, conferencias y mucho más. Estamos situados al lado del hospital Sant Pau."
